Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Reno,,"locality, political","Reno, NV, USA",,Reno,Nevada,United States,39.529919,-119.8142691
Circus Circus Reno,,"lodging, point_of_interest, establishment","500 N Sierra St, Reno, NV 89503, USA",89503,Reno,Nevada,United States,39.5313968,-119.8156128
J Resort,,"casino, lodging, point_of_interest, establishment","345 N Arlington Ave, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5281442,-119.8188873
Silver Legacy Resort Casino,,"casino, lodging, point_of_interest, establishment","407 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5304918,-119.8149946
Eldorado Reno Resort Casino,,"lodging, point_of_interest, establishment","345 N Virginia St, Reno, NV 89501, USA",89501,Reno,Nevada,United States,39.5291595,-119.8146488
Grand Sierra Resort and Casino,,"casino, movie_theater, night_club, lodging, bar, restaurant, food, point_of_interest, establishment","2500 E 2nd St, Reno, NV 89595, USA",89595,Reno,Nevada,United States,39.5230411,-119.7812235
Nugget Casino Resort,,"casino, lodging, point_of_interest, establishment","1100 Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53334069999999,-119.7582759
"Holiday Inn Express & Suites Reno Airport, an IHG Hotel",,"lodging, point_of_interest, establishment","2375 Market St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.513984,-119.782839
Peppermill Resort Spa Casino,,"casino, spa, lodging, restaurant, point_of_interest, food, establishment","2707 S Virginia St, Reno, NV 89502, USA",89502,Reno,Nevada,United States,39.4976865,-119.801139
Ramada by Wyndham Reno Hotel & Casino,,"lodging, point_of_interest, establishment","1000 E 6th St, Reno, NV 89512, USA",89512,Reno,Nevada,United States,39.5341343,-119.7995919
Holiday Inn Reno-Sparks,,"lodging, point_of_interest, establishment","55 East Nugget Ave, Sparks, NV 89431, USA",89431,Sparks,Nevada,United States,39.53340499999999,-119.742487
Western Village Inn & Casino,2,"casino, lodging, restaurant, food, point_of_interest, establishment","815 Nichols Blvd, Sparks, NV 89434, USA",89434,Sparks,Nevada,United States,39.5344449,-119.7338224
