Number,Id,Place,Price Range,Types,Address,Postal Code,City,State,Country,Latitude,Longitude
Café Espresso,,"cafe, point_of_interest, food, store, establishment",2707 South Virginia Street 89502,89502,Reno,Nevada,United States
Barnes & Noble,2,"book_store, cafe, store, food, point_of_interest, establishment",5555 South Virginia Street 89502,89502,Reno,Nevada,United States
SIPS Coffee and Tea - Silver Legacy,,"cafe, food, store, point_of_interest, establishment",407 North Virginia Street 89501,89501,Reno,Nevada,United States
Westside Cafe and Coffee Company,2,"cafe, restaurant, food, point_of_interest, establishment",5150 Mae Anne Avenue 89523,89523,Reno,Nevada,United States
Auntie Anne's,1,"cafe, bakery, restaurant, food, point_of_interest, store, establishment",5000 Meadowood Mall Circle 89502,89502,Reno,Nevada,United States
Cafe De Thai,2,"cafe, restaurant, food, store, point_of_interest, establishment",760 South Virginia Street 89501,89501,Reno,Nevada,United States
Swill Coffee and Wine,1,"cafe, store, food, point_of_interest, establishment",3366 Lakeside Court 89509,89509,Reno,Nevada,United States
Hub Coffee Roasters,2,"cafe, food, store, point_of_interest, establishment",727 Riverside Drive 89503,89503,Reno,Nevada,United States
Archie's Giant Hamburgers & Breakfast,2,"restaurant, bar, cafe, food, store, point_of_interest, establishment",2195 North Virginia Street 89503,89503,Reno,Nevada,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",330 South Virginia Street 89501,89501,Reno,Nevada,United States
Starbucks,2,"cafe, restaurant, food, store, point_of_interest, establishment",2905 Northtowne Lane 89512,89512,Reno,Nevada,United States
House Of Bread,2,"bakery, cafe, restaurant, food, store, point_of_interest, establishment",1185 California Avenue 89509,89509,Reno,Nevada,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",Plumb Lane 89509,89509,Reno,Nevada,United States
Mimi's Cafe,2,"cafe, bakery, bar, store, restaurant, food, point_of_interest, establishment",5090 Kietzke Lane 89511,89511,Reno,Nevada,United States
Squeeze In,2,"cafe, restaurant, point_of_interest, food, store, establishment",10060 Donner Pass Road 96161,96161,Truckee,California,United States
Starbucks,2,"cafe, restaurant, point_of_interest, food, store, establishment",Firecreek Crossing 89509,89509,Reno,Nevada,United States
Starbucks,2,"cafe, store, restaurant, point_of_interest, food, establishment",1560 South Stanford Way 89431,89431,Sparks,Nevada,United States
Starbucks,2,"cafe, store, restaurant, food, point_of_interest, establishment",1410 East William Street 89701,89701,Carson City,Nevada,United States
Nam Van Noodle Café,1,"cafe, store, restaurant, point_of_interest, food, establishment",113 Los Altos Parkway 89436,89436,Sparks,Nevada,United States
Starbucks,2,"cafe, store, restaurant, point_of_interest, food, establishment",12 Pine Cone Road 89403,89403,Dayton,Nevada,United States
Sparks Coffee Shop,2,"cafe, store, restaurant, food, point_of_interest, establishment",2252 Oddie Boulevard 89431,89431,Sparks,Nevada,United States
Kashmir American Enterprises,,"jewelry_store, cafe, clothing_store, home_goods_store, health, food, store, point_of_interest, establishment",160 South C Street 89440,89440,Virginia City,Nevada,United States
Sierra Nevada Chocolate,,"cafe, store, food, point_of_interest, establishment",1290 South Virginia Street 89502,89502,Reno,Nevada,United States
DC Cafe,,"cafe, food, point_of_interest, establishment",13101 South Virginia Street 89511,89511,Reno,Nevada,United States
Old World Coffee Lab - Midtown,1,"cafe, point_of_interest, food, store, establishment",104 California Avenue 89509,89509,Reno,Nevada,United States
Circle K,1,"convenience_store, atm, cafe, point_of_interest, food, finance, store, establishment",790 Tahoe Boulevard 89451,89451,Incline Village,Nevada,United States
Café Milano,2,"cafe, restaurant, food, point_of_interest, establishment",2707 South Virginia Street 89502,89502,Reno,Nevada,United States
Kolika Coffee,,"cafe, food, point_of_interest, establishment",1855 East Peckham Lane 89502,89502,Reno,Nevada,United States
Starbucks,2,"cafe, store, food, point_of_interest, establishment",407 North Virginia Street 89501,89501,Reno,Nevada,United States
Cafe Central,2,"cafe, restaurant, food, point_of_interest, establishment",407 North Virginia Street 89501,89501,Reno,Nevada,United States
SIPS Coffee and Tea - Circus Circus,,"cafe, food, store, point_of_interest, establishment",500 North Sierra Street 89503,89503,Reno,Nevada,United States
Starbucks,2,"cafe, store, food, point_of_interest, establishment",345 North Virginia Street 89501,89501,Reno,Nevada,United States
Joe's Good Java,,"atm, cafe, finance, store, food, point_of_interest, establishment",1 East 1st Street 89501,89501,Reno,Nevada,United States
Crafted Palette,1,"cafe, food, point_of_interest, establishment",130 West Street 89501,89501,Reno,Nevada,United States
Jack's Coffee Shop #2,2,"cafe, store, restaurant, food, point_of_interest, establishment",605 North Wells Avenue 89512,89512,Reno,Nevada,United States
